,date,DEVICE,OS,IS_LOGGEDIN,videos_regardes_sup90,videos_contenu_sup90,total_videos_vues,total_vues_loguees
94,2024-06-17,Desktop,macOS,1,2,5,6,6
95,2024-06-17,Mobile Phone,Android,0,202,453,515,0
96,2024-06-17,Mobile Phone,Android,1,61,113,136,136
97,2024-06-17,Mobile Phone,iOS,0,116,227,241,0
98,2024-06-17,Mobile Phone,iOS,1,32,71,81,81
99,2024-06-17,Set Top Box,Android,0,1,1,1,0
100,2024-06-17,Set Top Box,Android,1,2,2,2,2
101,2024-06-17,TABLETTE,Android,1,1,1,1,1
102,2024-06-17,Tablet,Android,0,16,35,39,0
103,2024-06-17,Tablet,Android,1,14,27,40,40
104,2024-06-17,Tablet,iOS,0,7,9,14,0
105,2024-06-17,Tablet,iOS,1,14,35,36,36
106,2024-06-17,Tablet,iPadOS,0,8,13,13,0
107,2024-06-17,smart-tv,,0,1,1,4,0
108,2024-06-17,smart-tv,Android,1,0,0,1,1
109,2024-06-17,smart-tv,amazon,0,0,35,97,0
110,2024-06-17,smart-tv,amazon,1,0,43,170,170
111,2024-06-17,smart-tv,apple,0,5,32,96,0
112,2024-06-17,smart-tv,apple,1,10,16,69,69
113,2024-06-17,smart-tv,arris,1,0,1,1,1
114,2024-06-17,smart-tv,askey,1,1,4,7,7
115,2024-06-17,smart-tv,changhong,0,1,1,3,0
116,2024-06-17,smart-tv,changhong,1,0,4,12,12
117,2024-06-17,smart-tv,chengdu,0,1,0,3,0
118,2024-06-17,smart-tv,chengdu,1,0,2,6,6
119,2024-06-17,smart-tv,cvt,0,0,0,1,0
120,2024-06-17,smart-tv,droidlogic,1,0,0,1,1
121,2024-06-17,smart-tv,expressluck,0,0,3,14,0
122,2024-06-17,smart-tv,expressluck,1,2,7,19,19
123,2024-06-17,smart-tv,fengmi,0,0,1,6,0
124,2024-06-17,smart-tv,fengmi,1,0,0,2,2
125,2024-06-17,smart-tv,formuler,0,0,1,2,0
126,2024-06-17,smart-tv,google,0,4,24,73,0
127,2024-06-17,smart-tv,google,1,20,36,139,139
128,2024-06-17,smart-tv,haier,0,0,1,1,0
129,2024-06-17,smart-tv,haier,1,0,1,1,1
130,2024-06-17,smart-tv,hisense,0,0,18,44,0
131,2024-06-17,smart-tv,hisense,1,4,25,71,71
132,2024-06-17,smart-tv,hkc,0,0,0,1,0
133,2024-06-17,smart-tv,hkc,1,0,1,4,4
134,2024-06-17,smart-tv,inspur,1,0,0,1,1
135,2024-06-17,smart-tv,konka,0,0,0,2,0
136,2024-06-17,smart-tv,konka,1,1,0,5,5
137,2024-06-17,smart-tv,ktc,1,0,0,1,1
138,2024-06-17,smart-tv,lg,0,0,18,62,0
139,2024-06-17,smart-tv,lg,1,9,32,79,79
140,2024-06-17,smart-tv,m043,0,1,0,1,0
141,2024-06-17,smart-tv,m043,1,0,0,1,1
142,2024-06-17,smart-tv,mediatek,1,0,0,2,2
143,2024-06-17,smart-tv,mtc,0,0,1,3,0
144,2024-06-17,smart-tv,mtc,1,0,2,9,9
145,2024-06-17,smart-tv,my,0,2,3,10,0
146,2024-06-17,smart-tv,my,1,1,7,22,22
147,2024-06-17,smart-tv,nvidia,0,0,1,2,0
148,2024-06-17,smart-tv,nvidia,1,2,5,18,18
149,2024-06-17,smart-tv,other,0,0,1,5,0
150,2024-06-17,smart-tv,other,1,0,0,2,2
151,2024-06-17,smart-tv,panasonic,1,0,0,1,1
152,2024-06-17,smart-tv,philips,0,0,1,4,0
153,2024-06-17,smart-tv,philips,1,1,6,13,13
154,2024-06-17,smart-tv,realtek,0,0,0,1,0
155,2024-06-17,smart-tv,samsung,0,16,99,198,0
156,2024-06-17,smart-tv,samsung,1,30,92,276,276
157,2024-06-17,smart-tv,scbc,0,0,0,1,0
158,2024-06-17,smart-tv,scbc,1,1,2,8,8
159,2024-06-17,smart-tv,sdmc,1,0,1,4,4
160,2024-06-17,smart-tv,sei,0,1,0,2,0
161,2024-06-17,smart-tv,sei,1,0,1,3,3
162,2024-06-17,smart-tv,sharp,0,0,0,4,0
163,2024-06-17,smart-tv,sharp,1,1,1,6,6
164,2024-06-17,smart-tv,skyworth,1,1,0,2,2
165,2024-06-17,smart-tv,skyworthdigital,0,0,1,2,0
166,2024-06-17,smart-tv,skyworthdigital,1,1,2,13,13
167,2024-06-17,smart-tv,smartphone,1,0,0,1,1
168,2024-06-17,smart-tv,smarttv,1,0,0,1,1
169,2024-06-17,smart-tv,sony,0,1,9,26,0
170,2024-06-17,smart-tv,sony,1,8,12,48,48
171,2024-06-17,smart-tv,tcl,0,2,21,61,0
172,2024-06-17,smart-tv,tcl,1,12,50,143,143
173,2024-06-17,smart-tv,technicolor,0,0,0,1,0
174,2024-06-17,smart-tv,tpv,0,1,2,14,0
175,2024-06-17,smart-tv,tpv,1,4,9,26,26
176,2024-06-17,smart-tv,vestel,0,0,2,2,0
177,2024-06-17,smart-tv,vestel,1,1,2,10,10
178,2024-06-17,smart-tv,vs,0,0,0,1,0
179,2024-06-17,smart-tv,vs,1,0,0,1,1
180,2024-06-17,smart-tv,xgimi,0,1,1,4,0
181,2024-06-17,smart-tv,xgimi,1,0,0,5,5
182,2024-06-17,smart-tv,xiaomi,0,9,18,48,0
183,2024-06-17,smart-tv,xiaomi,1,9,33,102,102
184,2024-06-17,smart-tv,zte,1,0,0,3,3
185,2024-06-18,Desktop,Android,1,1,1,1,1
186,2024-06-18,Desktop,Linux,0,1,4,4,0
187,2024-06-18,Desktop,Linux,1,1,1,1,1
188,2024-06-18,Desktop,Windows,0,40,61,63,0
189,2024-06-18,Desktop,Windows,1,77,111,118,118
190,2024-06-18,Desktop,macOS,0,10,19,19,0
191,2024-06-18,Desktop,macOS,1,24,31,31,31
192,2024-06-18,Mobile Phone,Android,0,173,329,349,0
193,2024-06-18,Mobile Phone,Android,1,180,311,347,347
194,2024-06-18,Mobile Phone,iOS,0,99,156,162,0
195,2024-06-18,Mobile Phone,iOS,1,103,208,227,227
196,2024-06-18,TABLET,Android,0,1,1,1,0
197,2024-06-18,Tablet,Android,0,26,39,42,0
198,2024-06-18,Tablet,Android,1,55,97,105,105
199,2024-06-18,Tablet,iOS,0,4,8,8,0
200,2024-06-18,Tablet,iOS,1,52,106,116,116
201,2024-06-18,Tablet,iPadOS,0,4,5,5,0
202,2024-06-18,smart-tv,Android,0,0,1,1,0
203,2024-06-18,smart-tv,amazon,0,1,40,125,0
204,2024-06-18,smart-tv,amazon,1,2,40,122,122
205,2024-06-18,smart-tv,apple,0,28,58,145,0
206,2024-06-18,smart-tv,apple,1,6,19,51,51
207,2024-06-18,smart-tv,askey,0,1,1,2,0
208,2024-06-18,smart-tv,askey,1,0,1,3,3
209,2024-06-18,smart-tv,changhong,0,0,2,7,0
210,2024-06-18,smart-tv,changhong,1,0,1,4,4
211,2024-06-18,smart-tv,expressluck,0,1,13,23,0
212,2024-06-18,smart-tv,expressluck,1,1,4,9,9
213,2024-06-18,smart-tv,fengmi,0,0,0,2,0
214,2024-06-18,smart-tv,formuler,0,0,2,5,0
215,2024-06-18,smart-tv,google,0,7,42,96,0
216,2024-06-18,smart-tv,google,1,16,27,99,99
217,2024-06-18,smart-tv,haier,0,0,0,1,0
218,2024-06-18,smart-tv,hisense,0,0,23,52,0
219,2024-06-18,smart-tv,hisense,1,2,15,46,46
220,2024-06-18,smart-tv,hkc,0,0,0,4,0
221,2024-06-18,smart-tv,infomir,0,0,0,1,0
222,2024-06-18,smart-tv,jiuzhou,1,0,0,1,1
223,2024-06-18,smart-tv,konka,0,1,1,4,0
224,2024-06-18,smart-tv,konka,1,1,0,5,5
225,2024-06-18,smart-tv,ktc,0,0,0,1,0
226,2024-06-18,smart-tv,lg,0,4,42,91,0
227,2024-06-18,smart-tv,lg,1,3,7,48,48
228,2024-06-18,smart-tv,m043,1,2,0,2,2
229,2024-06-18,smart-tv,mtc,0,0,0,2,0
230,2024-06-18,smart-tv,mtc,1,0,0,11,11
231,2024-06-18,smart-tv,mtk,0,0,0,1,0
232,2024-06-18,smart-tv,my,0,0,7,15,0
233,2024-06-18,smart-tv,my,1,0,3,11,11
234,2024-06-18,smart-tv,nvidia,0,0,3,11,0
235,2024-06-18,smart-tv,nvidia,1,0,1,4,4
236,2024-06-18,smart-tv,other,0,0,2,4,0
237,2024-06-18,smart-tv,other,1,0,2,3,3
238,2024-06-18,smart-tv,panasonic,0,0,1,1,0
239,2024-06-18,smart-tv,philips,0,3,4,13,0
240,2024-06-18,smart-tv,philips,1,2,1,10,10
241,2024-06-18,smart-tv,samsung,0,15,102,243,0
242,2024-06-18,smart-tv,samsung,1,17,53,179,179
243,2024-06-18,smart-tv,scbc,0,0,0,1,0
244,2024-06-18,smart-tv,scbc,1,0,3,5,5
245,2024-06-18,smart-tv,sdmc,0,2,5,13,0
246,2024-06-18,smart-tv,sei,1,1,0,3,3
247,2024-06-18,smart-tv,sharp,0,0,2,4,0
248,2024-06-18,smart-tv,sharp,1,0,0,3,3
249,2024-06-18,smart-tv,skyworth,0,0,0,1,0
250,2024-06-18,smart-tv,skyworth,1,0,0,2,2
251,2024-06-18,smart-tv,skyworthdigital,0,0,0,2,0
252,2024-06-18,smart-tv,skyworthdigital,1,0,0,5,5
253,2024-06-18,smart-tv,smartphone,1,0,0,1,1
254,2024-06-18,smart-tv,sony,0,1,12,26,0
255,2024-06-18,smart-tv,sony,1,0,2,17,17
256,2024-06-18,smart-tv,tcl,0,8,39,105,0
257,2024-06-18,smart-tv,tcl,1,9,26,81,81
258,2024-06-18,smart-tv,tds,0,1,0,1,0
259,2024-06-18,smart-tv,technicolor,1,0,1,1,1
260,2024-06-18,smart-tv,tpv,0,2,7,22,0
261,2024-06-18,smart-tv,tpv,1,2,3,14,14
262,2024-06-18,smart-tv,vestel,0,1,3,6,0
263,2024-06-18,smart-tv,vestel,1,0,2,6,6
264,2024-06-18,smart-tv,xgimi,0,0,0,1,0
265,2024-06-18,smart-tv,xgimi,1,0,1,4,4
266,2024-06-18,smart-tv,xiaomi,0,6,24,61,0
267,2024-06-18,smart-tv,xiaomi,1,3,13,36,36
268,2024-06-19,DESKTOP,Android,0,0,1,1,0
269,2024-06-19,Desktop,Android,1,1,1,1,1
270,2024-06-19,Desktop,Chrome OS,0,1,2,2,0
271,2024-06-19,Desktop,Chrome OS,1,0,1,1,1
272,2024-06-19,Desktop,Linux,0,3,7,7,0
